Accountability Record: Site Code,Grade Level: Program Name,Grade Level: Grade,Students,Desired Enrollment,Facility: Facility Name,Facility: Portfolio Region,Facility: Cost Tier,Facility Capacity,Accountability Record: Site Name,Facility: Zip/Postal Code
3C3003,Mildred Osborne Charter School (Crescent City Schools),8,52,70,Mildred Osborne,"Planning Districts 9, 10, 11",1,698,Esperanza Charter School,70126
3C3003,Mildred Osborne Charter School (Crescent City Schools),6,45,60,Mildred Osborne,"Planning Districts 9, 10, 11",1,698,Esperanza Charter School,70126
363003,Mildred Osborne Charter School (Crescent City Schools),3,79,81,Mildred Osborne,"Planning Districts 9, 10, 11",1,698,Mildred Osborne Charter School,70126
3C3003,Mildred Osborne Charter School (Crescent City Schools),4,40,45,Mildred Osborne,"Planning Districts 9, 10, 11",1,698,Esperanza Charter School,70126
363003,Mildred Osborne Charter School (Crescent City Schools),1,78,98,Mildred Osborne,"Planning Districts 9, 10, 11",1,698,Mildred Osborne Charter School,70126
3C3003,Mildred Osborne Charter School (Crescent City Schools),5,54,69,Mildred Osborne,"Planning Districts 9, 10, 11",1,698,Esperanza Charter School,70126
363003,Mildred Osborne Charter School (Crescent City Schools),K,61,73,Mildred Osborne,"Planning Districts 9, 10, 11",1,698,Mildred Osborne Charter School,70126
363003,Mildred Osborne Charter School (Crescent City Schools),2,75,95,Mildred Osborne,"Planning Districts 9, 10, 11",1,698,Mildred Osborne Charter School,70126
3C3003,Mildred Osborne Charter School (Crescent City Schools),7,53,72,Mildred Osborne,"Planning Districts 9, 10, 11",1,698,Esperanza Charter School,70126
368001,Morris Jeff Community School,10,95,106,William Frantz,"Planning Districts 6, 7, 8",2,612,Morris Jeff Community School,70117
368001,Morris Jeff Community School,3,105,121,Morris F.X. Jeff Sr.,"Planning Districts 4, 5",1,989,Morris Jeff Community School,70119
368001,Morris Jeff Community School,4,102,114,Morris F.X. Jeff Sr.,"Planning Districts 4, 5",1,989,Morris Jeff Community School,70119
368001,Morris Jeff Community School,6,80,84,Drew,"Planning Districts 6, 7, 8",3,461,Morris Jeff Community School,70117
368001,Morris Jeff Community School,1,101,106,Morris F.X. Jeff Sr.,"Planning Districts 4, 5",1,989,Morris Jeff Community School,70119
368001,Morris Jeff Community School,11,112,131,William Frantz,"Planning Districts 6, 7, 8",2,612,Morris Jeff Community School,70117
368001,Morris Jeff Community School,K,113,130,Morris F.X. Jeff Sr.,"Planning Districts 4, 5",1,989,Morris Jeff Community School,70119
368001,Morris Jeff Community School,5,79,96,Morris F.X. Jeff Sr.,"Planning Districts 4, 5",1,989,Morris Jeff Community School,70119
368001,Morris Jeff Community School,7,79,90,Drew,"Planning Districts 6, 7, 8",3,461,Morris Jeff Community School,70117
368001,Morris Jeff Community School,2,105,119,Morris F.X. Jeff Sr.,"Planning Districts 4, 5",1,989,Morris Jeff Community School,70119
368001,Morris Jeff Community School,9,99,109,William Frantz,"Planning Districts 6, 7, 8",2,612,Morris Jeff Community School,70117
368001,Morris Jeff Community School,8,89,90,Drew,"Planning Districts 6, 7, 8",3,461,Morris Jeff Community School,70117
368001,Morris Jeff Community School,12,97,106,William Frantz,"Planning Districts 6, 7, 8",2,612,Morris Jeff Community School,70117
WBQ001,New Harmony High,9,75,89,Private Facility (New Harmony),"Planning Districts 4, 5",,0,New Harmony High Institute,70119
WBQ001,New Harmony High,10,72,73,Private Facility (New Harmony),"Planning Districts 4, 5",,0,New Harmony High Institute,70119
WBQ001,New Harmony High,11,76,88,Private Facility (New Harmony),"Planning Districts 4, 5",,0,New Harmony High Institute,70119
WBQ001,New Harmony High,12,57,68,Private Facility (New Harmony),"Planning Districts 4, 5",,0,New Harmony High Institute,70119
348001,New Orleans Military and Maritime Academy (NOMMA),10,178,186,Private Facility (NOMMA),"Planning Districts 12, 13",,0,New Orleans Military & Maritime Academy,70114
348001,New Orleans Military and Maritime Academy (NOMMA),9,217,232,Private Facility (NOMMA),"Planning Districts 12, 13",,0,New Orleans Military & Maritime Academy,70114
348001,New Orleans Military and Maritime Academy (NOMMA),11,184,198,Private Facility (NOMMA),"Planning Districts 12, 13",,0,New Orleans Military & Maritime Academy,70114
348001,New Orleans Military and Maritime Academy (NOMMA),8,130,133,Private Facility (NOMMA),"Planning Districts 12, 13",,0,New Orleans Military & Maritime Academy,70114
W18001,Noble Minds Institute for Whole Child Learning,K,-1,6,Private Facility (Noble Minds),"Planning Districts 1a, 1b, 2, 3",,0,Noble Minds,70118
W18001,Noble Minds Institute for Whole Child Learning,4,11,12,Private Facility (Noble Minds),"Planning Districts 1a, 1b, 2, 3",,0,Noble Minds,70118
W18001,Noble Minds Institute for Whole Child Learning,6,13,13,Private Facility (Noble Minds),"Planning Districts 1a, 1b, 2, 3",,0,Noble Minds,70118
W18001,Noble Minds Institute for Whole Child Learning,7,7,10,Private Facility (Noble Minds),"Planning Districts 1a, 1b, 2, 3",,0,Noble Minds,70118
W18001,Noble Minds Institute for Whole Child Learning,5,14,33,Private Facility (Noble Minds),"Planning Districts 1a, 1b, 2, 3",,0,Noble Minds,70118
W18001,Noble Minds Institute for Whole Child Learning,3,12,23,Private Facility (Noble Minds),"Planning Districts 1a, 1b, 2, 3",,0,Noble Minds,70118
W18001,Noble Minds Institute for Whole Child Learning,1,6,12,Private Facility (Noble Minds),"Planning Districts 1a, 1b, 2, 3",,0,Noble Minds,70118
W18001,Noble Minds Institute for Whole Child Learning,2,8,21,Private Facility (Noble Minds),"Planning Districts 1a, 1b, 2, 3",,0,Noble Minds,70118
W18001,Noble Minds Institute for Whole Child Learning,8,7,15,Private Facility (Noble Minds),"Planning Districts 1a, 1b, 2, 3",,0,Noble Minds,70118
WBI001,NO Charter Science and Math High School (Sci High),9,166,181,Albert Wicker,"Planning Districts 4, 5",1,836,New Orleans Charter Science and Mathematics HS,70112
WBI001,NO Charter Science and Math High School (Sci High),10,156,165,Albert Wicker,"Planning Districts 4, 5",1,836,New Orleans Charter Science and Mathematics HS,70112
WBI001,NO Charter Science and Math High School (Sci High),11,135,151,Albert Wicker,"Planning Districts 4, 5",1,836,New Orleans Charter Science and Mathematics HS,70112
WBI001,NO Charter Science and Math High School (Sci High),12,110,126,Albert Wicker,"Planning Districts 4, 5",1,836,New Orleans Charter Science and Mathematics HS,70112
369003,ReNEW Dolores T. Aaron Academy,3,58,67,Dolores T. Aaron,"Planning Districts 9, 10, 11",2,698,ReNEW Dolores T. Aaron Elementary,70127
369003,ReNEW Dolores T. Aaron Academy,K,62,67,Dolores T. Aaron,"Planning Districts 9, 10, 11",2,698,ReNEW Dolores T. Aaron Elementary,70127
369003,ReNEW Dolores T. Aaron Academy,4,67,86,Dolores T. Aaron,"Planning Districts 9, 10, 11",2,698,ReNEW Dolores T. Aaron Elementary,70127
369003,ReNEW Dolores T. Aaron Academy,6,73,88,Dolores T. Aaron,"Planning Districts 9, 10, 11",2,698,ReNEW Dolores T. Aaron Elementary,70127
369003,ReNEW Dolores T. Aaron Academy,8,73,79,Dolores T. Aaron,"Planning Districts 9, 10, 11",2,698,ReNEW Dolores T. Aaron Elementary,70127
369003,ReNEW Dolores T. Aaron Academy,2,75,89,Dolores T. Aaron,"Planning Districts 9, 10, 11",2,698,ReNEW Dolores T. Aaron Elementary,70127
369003,ReNEW Dolores T. Aaron Academy,5,77,94,Dolores T. Aaron,"Planning Districts 9, 10, 11",2,698,ReNEW Dolores T. Aaron Elementary,70127
369003,ReNEW Dolores T. Aaron Academy,7,76,94,Dolores T. Aaron,"Planning Districts 9, 10, 11",2,698,ReNEW Dolores T. Aaron Elementary,70127
369003,ReNEW Dolores T. Aaron Academy,1,55,69,Dolores T. Aaron,"Planning Districts 9, 10, 11",2,698,ReNEW Dolores T. Aaron Elementary,70127
369002,ReNEW Laurel Elementary,8,75,79,Laurel,"Planning Districts 1a, 1b, 2, 3",3,1134,ReNEW Laurel Elementary,70130
369002,ReNEW Laurel Elementary,6,61,74,Laurel,"Planning Districts 1a, 1b, 2, 3",3,1134,ReNEW Laurel Elementary,70130
369002,ReNEW Laurel Elementary,K,46,55,Laurel,"Planning Districts 1a, 1b, 2, 3",3,1134,ReNEW Laurel Elementary,70130
369002,ReNEW Laurel Elementary,3,63,82,Laurel,"Planning Districts 1a, 1b, 2, 3",3,1134,ReNEW Laurel Elementary,70130
369002,ReNEW Laurel Elementary,7,58,76,Laurel,"Planning Districts 1a, 1b, 2, 3",3,1134,ReNEW Laurel Elementary,70130
369002,ReNEW Laurel Elementary,4,49,64,Laurel,"Planning Districts 1a, 1b, 2, 3",3,1134,ReNEW Laurel Elementary,70130
369002,ReNEW Laurel Elementary,5,44,61,Laurel,"Planning Districts 1a, 1b, 2, 3",3,1134,ReNEW Laurel Elementary,70130
369002,ReNEW Laurel Elementary,2,43,51,Laurel,"Planning Districts 1a, 1b, 2, 3",3,1134,ReNEW Laurel Elementary,70130
369002,ReNEW Laurel Elementary,1,58,70,Laurel,"Planning Districts 1a, 1b, 2, 3",3,1134,ReNEW Laurel Elementary,70130
369006,ReNEW Schaumburg Elementary,6,52,54,Schaumburg,"Planning Districts 9, 10, 11",2,728,ReNEW Schaumburg Elementary,70127
369006,ReNEW Schaumburg Elementary,2,56,68,Schaumburg,"Planning Districts 9, 10, 11",2,728,ReNEW Schaumburg Elementary,70127
369006,ReNEW Schaumburg Elementary,5,56,62,Schaumburg,"Planning Districts 9, 10, 11",2,728,ReNEW Schaumburg Elementary,70127
369006,ReNEW Schaumburg Elementary,8,74,87,Schaumburg,"Planning Districts 9, 10, 11",2,728,ReNEW Schaumburg Elementary,70127
369006,ReNEW Schaumburg Elementary,1,67,79,Schaumburg,"Planning Districts 9, 10, 11",2,728,ReNEW Schaumburg Elementary,70127
369006,ReNEW Schaumburg Elementary,K,58,66,Schaumburg,"Planning Districts 9, 10, 11",2,728,ReNEW Schaumburg Elementary,70127
369006,ReNEW Schaumburg Elementary,7,58,76,Schaumburg,"Planning Districts 9, 10, 11",2,728,ReNEW Schaumburg Elementary,70127
369006,ReNEW Schaumburg Elementary,4,58,65,Schaumburg,"Planning Districts 9, 10, 11",2,728,ReNEW Schaumburg Elementary,70127
369006,ReNEW Schaumburg Elementary,3,63,68,Schaumburg,"Planning Districts 9, 10, 11",2,728,ReNEW Schaumburg Elementary,70127
WBG001,Robert Russa Moton Charter School,5,30,42,North Kenilworth,"Planning Districts 9, 10, 11",1,1031,Robert Russa Moton Charter School,70127
WBG001,Robert Russa Moton Charter School,1,34,45,North Kenilworth,"Planning Districts 9, 10, 11",1,1031,Robert Russa Moton Charter School,70127
WBG001,Robert Russa Moton Charter School,3,38,54,North Kenilworth,"Planning Districts 9, 10, 11",1,1031,Robert Russa Moton Charter School,70127
WBG001,Robert Russa Moton Charter School,7,27,47,North Kenilworth,"Planning Districts 9, 10, 11",1,1031,Robert Russa Moton Charter School,70127
WBG001,Robert Russa Moton Charter School,4,31,39,North Kenilworth,"Planning Districts 9, 10, 11",1,1031,Robert Russa Moton Charter School,70127
WBG001,Robert Russa Moton Charter School,6,23,32,North Kenilworth,"Planning Districts 9, 10, 11",1,1031,Robert Russa Moton Charter School,70127
WBG001,Robert Russa Moton Charter School,2,23,43,North Kenilworth,"Planning Districts 9, 10, 11",1,1031,Robert Russa Moton Charter School,70127
WBG001,Robert Russa Moton Charter School,K,26,32,North Kenilworth,"Planning Districts 9, 10, 11",1,1031,Robert Russa Moton Charter School,70127
WBG001,Robert Russa Moton Charter School,8,47,54,North Kenilworth,"Planning Districts 9, 10, 11",1,1031,Robert Russa Moton Charter School,70127
3C7001,Rooted School,10,23,28,Private Facility (Rooted),"Planning Districts 6, 7, 8",,0,Rooted School,70122
3C7001,Rooted School,9,35,51,Private Facility (Rooted),"Planning Districts 6, 7, 8",,0,Rooted School,70122
3C7001,Rooted School,12,15,25,Private Facility (Rooted),"Planning Districts 6, 7, 8",,0,Rooted School,70122
3C7001,Rooted School,11,31,37,Private Facility (Rooted),"Planning Districts 6, 7, 8",,0,Rooted School,70122
WBM001,Sarah Towles Reed High School,11,95,100,Sarah Towles Reed,"Planning Districts 9, 10, 11",4,1311,Sarah Towles Reed High School,70129
WBM001,Sarah Towles Reed High School,12,49,64,Sarah Towles Reed,"Planning Districts 9, 10, 11",4,1311,Sarah Towles Reed High School,70129
WBM001,Sarah Towles Reed High School,10,97,103,Sarah Towles Reed,"Planning Districts 9, 10, 11",4,1311,Sarah Towles Reed High School,70129
WBM001,Sarah Towles Reed High School,9,108,108,Sarah Towles Reed,"Planning Districts 9, 10, 11",4,1311,Sarah Towles Reed High School,70129
397001,Sophie B. Wright High School,9,171,190,James Skelly Wright,"Planning Districts 1a, 1b, 2, 3",2,752,Sophie B. Wright Institute of Academic Excellence,70115
397001,Sophie B. Wright High School,10,135,152,James Skelly Wright,"Planning Districts 1a, 1b, 2, 3",2,752,Sophie B. Wright Institute of Academic Excellence,70115
397001,Sophie B. Wright High School,12,81,87,James Skelly Wright,"Planning Districts 1a, 1b, 2, 3",2,752,Sophie B. Wright Institute of Academic Excellence,70115
397001,Sophie B. Wright High School,11,132,145,James Skelly Wright,"Planning Districts 1a, 1b, 2, 3",2,752,Sophie B. Wright Institute of Academic Excellence,70115
374001,Success at Thurgood Marshall,1,29,29,Thurgood Marshall,"Planning Districts 4, 5",2,466,Success @ Thurgood Marshall,70119
374001,Success at Thurgood Marshall,3,31,48,Thurgood Marshall,"Planning Districts 4, 5",2,466,Success @ Thurgood Marshall,70119
374001,Success at Thurgood Marshall,4,50,54,Thurgood Marshall,"Planning Districts 4, 5",2,466,Success @ Thurgood Marshall,70119
374001,Success at Thurgood Marshall,2,27,42,Thurgood Marshall,"Planning Districts 4, 5",2,466,Success @ Thurgood Marshall,70119
374001,Success at Thurgood Marshall,6,48,64,Thurgood Marshall,"Planning Districts 4, 5",2,466,Success @ Thurgood Marshall,70119
374001,Success at Thurgood Marshall,7,49,68,Thurgood Marshall,"Planning Districts 4, 5",2,466,Success @ Thurgood Marshall,70119
374001,Success at Thurgood Marshall,8,42,61,Thurgood Marshall,"Planning Districts 4, 5",2,466,Success @ Thurgood Marshall,70119
374001,Success at Thurgood Marshall,5,50,62,Thurgood Marshall,"Planning Districts 4, 5",2,466,Success @ Thurgood Marshall,70119
374001,Success at Thurgood Marshall,K,31,51,Thurgood Marshall,"Planning Districts 4, 5",2,466,Success @ Thurgood Marshall,70119
360001,The NET Charter High School: Central City,9,39,42,Private Facility (NET Central City),"Planning Districts 1a, 1b, 2, 3",,0,The NET Charter High School,70113
360001,The NET Charter High School: Central City,10,23,36,Private Facility (NET Central City),"Planning Districts 1a, 1b, 2, 3",,0,The NET Charter High School,70113
360001,The NET Charter High School: Central City,11,15,24,Private Facility (NET Central City),"Planning Districts 1a, 1b, 2, 3",,0,The NET Charter High School,70113
360001,The NET Charter High School: Central City,12,31,49,Private Facility (NET Central City),"Planning Districts 1a, 1b, 2, 3",,0,The NET Charter High School,70113
360001,The NET Charter High School: Central City,8,-1,14,Private Facility (NET Central City),"Planning Districts 1a, 1b, 2, 3",,0,The NET Charter High School,70113
360003,The NET Charter High School: East,8,9,19,Gaudet,"Planning Districts 9, 10, 11",3,886,New Orleans Accelerated High School,70128
360003,The NET Charter High School: East,9,41,56,Gaudet,"Planning Districts 9, 10, 11",3,886,New Orleans Accelerated High School,70128
360003,The NET Charter High School: East,12,50,63,Gaudet,"Planning Districts 9, 10, 11",3,886,New Orleans Accelerated High School,70128
360003,The NET Charter High School: East,11,55,59,Gaudet,"Planning Districts 9, 10, 11",3,886,New Orleans Accelerated High School,70128
360003,The NET Charter High School: East,10,34,48,Gaudet,"Planning Districts 9, 10, 11",3,886,New Orleans Accelerated High School,70128
360002,The NET Charter High School: Gentilly,8,-2,9,Private Facility (NET Gentilly),"Planning Districts 6, 7, 8",,0,The NET 2 Charter High School,70122
360002,The NET Charter High School: Gentilly,10,15,33,Private Facility (NET Gentilly),"Planning Districts 6, 7, 8",,0,The NET 2 Charter High School,70122
360002,The NET Charter High School: Gentilly,9,14,33,Private Facility (NET Gentilly),"Planning Districts 6, 7, 8",,0,The NET 2 Charter High School,70122
360002,The NET Charter High School: Gentilly,11,28,40,Private Facility (NET Gentilly),"Planning Districts 6, 7, 8",,0,The NET 2 Charter High School,70122
360002,The NET Charter High School: Gentilly,12,15,21,Private Facility (NET Gentilly),"Planning Districts 6, 7, 8",,0,The NET 2 Charter High School,70122
WBE001,The Willow School (Formerly Lusher),2,110,122,Dr. Everett J. Williams Jr.,"Planning Districts 1a, 1b, 2, 3",3,503,The Willow School,70118
WBE001,The Willow School (Formerly Lusher),4,147,163,Dr. Everett J. Williams Jr.,"Planning Districts 1a, 1b, 2, 3",3,503,The Willow School,70118
WBE001,The Willow School (Formerly Lusher),10,158,164,Elijah Brimmer Jr.,"Planning Districts 1a, 1b, 2, 3",3,1432,The Willow School,70115
WBE001,The Willow School (Formerly Lusher),9,190,203,Elijah Brimmer Jr.,"Planning Districts 1a, 1b, 2, 3",3,1432,The Willow School,70115
WBE001,The Willow School (Formerly Lusher),12,185,196,Elijah Brimmer Jr.,"Planning Districts 1a, 1b, 2, 3",3,1432,The Willow School,70115
WBE001,The Willow School (Formerly Lusher),6,152,166,Ellis L. Marsalis Jr.,"Planning Districts 1a, 1b, 2, 3",3,545,The Willow School,70115
WBE001,The Willow School (Formerly Lusher),K,125,134,Dr. Everett J. Williams Jr.,"Planning Districts 1a, 1b, 2, 3",3,503,The Willow School,70118
WBE001,The Willow School (Formerly Lusher),1,119,119,Dr. Everett J. Williams Jr.,"Planning Districts 1a, 1b, 2, 3",3,503,The Willow School,70118
WBE001,The Willow School (Formerly Lusher),5,151,159,Ellis L. Marsalis Jr.,"Planning Districts 1a, 1b, 2, 3",3,545,The Willow School,70115
WBE001,The Willow School (Formerly Lusher),3,125,127,Dr. Everett J. Williams Jr.,"Planning Districts 1a, 1b, 2, 3",3,503,The Willow School,70118
WBE001,The Willow School (Formerly Lusher),11,189,197,Elijah Brimmer Jr.,"Planning Districts 1a, 1b, 2, 3",3,1432,The Willow School,70115
WBE001,The Willow School (Formerly Lusher),8,189,194,Elijah Brimmer Jr.,"Planning Districts 1a, 1b, 2, 3",3,1432,The Willow School,70115
WBE001,The Willow School (Formerly Lusher),7,149,150,Ellis L. Marsalis Jr.,"Planning Districts 1a, 1b, 2, 3",3,545,The Willow School,70115
WZB001,Warren Easton High School,11,237,253,Warren Easton,"Planning Districts 4, 5",2,1128,Warren Easton Charter High School,70119
WZB001,Warren Easton High School,10,299,305,Warren Easton,"Planning Districts 4, 5",2,1128,Warren Easton Charter High School,70119
WZB001,Warren Easton High School,12,255,274,Warren Easton,"Planning Districts 4, 5",2,1128,Warren Easton Charter High School,70119
WZB001,Warren Easton High School,9,303,318,Warren Easton,"Planning Districts 4, 5",2,1128,Warren Easton Charter High School,70119
3C8001,YACS at Lawrence D. Crocker,6,40,40,Lawrence D. Crocker,"Planning Districts 1a, 1b, 2, 3",1,722,Young Audiences at Crocker Elementary,70115
3C8001,YACS at Lawrence D. Crocker,7,31,46,Lawrence D. Crocker,"Planning Districts 1a, 1b, 2, 3",1,722,Young Audiences at Crocker Elementary,70115
3C8001,YACS at Lawrence D. Crocker,3,43,56,Lawrence D. Crocker,"Planning Districts 1a, 1b, 2, 3",1,722,Young Audiences at Crocker Elementary,70115
3C8001,YACS at Lawrence D. Crocker,1,33,51,Lawrence D. Crocker,"Planning Districts 1a, 1b, 2, 3",1,722,Young Audiences at Crocker Elementary,70115
3C8001,YACS at Lawrence D. Crocker,5,37,51,Lawrence D. Crocker,"Planning Districts 1a, 1b, 2, 3",1,722,Young Audiences at Crocker Elementary,70115
3C8001,YACS at Lawrence D. Crocker,8,35,39,Lawrence D. Crocker,"Planning Districts 1a, 1b, 2, 3",1,722,Young Audiences at Crocker Elementary,70115
3C8001,YACS at Lawrence D. Crocker,K,32,34,Lawrence D. Crocker,"Planning Districts 1a, 1b, 2, 3",1,722,Young Audiences at Crocker Elementary,70115
3C8001,YACS at Lawrence D. Crocker,4,53,63,Lawrence D. Crocker,"Planning Districts 1a, 1b, 2, 3",1,722,Young Audiences at Crocker Elementary,70115
3C8001,YACS at Lawrence D. Crocker,2,48,54,Lawrence D. Crocker,"Planning Districts 1a, 1b, 2, 3",1,722,Young Audiences at Crocker Elementary,70115
